X,Y,OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
-121.361738000108573,47.71122899991849,985,SKE,"Skykomish (Eastbound), WA",147 5th Street North,Sky Gas Station,Skykomish (Eastbound),WA,98288,BUS,53
-124.203780999793253,41.957498000332521,986,SMR,"Smith River, CA",13450 US Highway 101 North,Shell Station Lucky 7 Casino Store,Smith River,CA,95567,BUS,06
-90.938352000444411,44.949812999670257,987,SNY,"Stanley, WI",604 South Broadway Street,Shell Station Travel Plaza,Stanley,WI,54768,BUS,55
-119.934815999758541,38.969907000307842,988,SLN,"Stateline, NV",169 Highway 50,Kingsbury Transit Center,Stateline,NV,89449,BUS,32
-89.571578000324394,44.528941000227007,989,SVU,"Stevens Point, WI",2050 4th Avenue,University of Wisconsin Health Enhancement Center,Stevens Point,WI,54481,BUS,55
-83.531058999972856,44.257281000118098,990,TWC,"Tawas City, MI",1020 West Lake Street,Bay Inn,Tawas City,MI,48763,BUS,26
-81.940673999605337,28.937532000401575,991,TVF,"The Villages-Lady Lake, FL",401 North US Highway 441,BP Gas Station/Kangaroo Express Market,Lady Lake,FL,32159,BUS,12
-87.736464999859834,31.941001999742525,992,THM,"Thomasville, AL",34390 US Highway 43,Chevron Gas Station,Thomasville,AL,36784,BUS,01
-118.286675999797524,33.843363999648943,993,TOA,"Torrance, CA",20575 Hamilton Avenue,Alpine Village MTA Transit Bus Stop,Torrance,CA,90502,BUS,06
-95.302709000020286,32.353011999704052,994,TYL,"Tyler, TX",303 North Bois D'Arc Street,Greyhound Station,Tyler,TX,75702,BUS,48
-90.875718999831918,32.316303000283312,995,VKS,"Vicksburg, MS",1295 South Frontage Road,Greyhound Bus Station,Vicksburg,MS,39180,BUS,28
-117.293918000315443,34.537466999702303,996,VRB,"Victorville, CA",16838 South D Street,Victor Valley Transit Center,Victorville,CA,92395,BUS,06
-88.897648999801447,37.415383999871722,997,VNA,"Vienna, IL",504 West Vine Street,Hospitality House of Vienna,Vienna,IL,62995,BUS,17
-97.132344999721909,31.552238999830024,998,WCX,"Waco, TX",301 South 8th Street,Transit Center,Waco,TX,76701,BUS,48
-118.341502000117202,46.065988999692649,999,WWA,"Walla Walla, WA",108 West Main Street,Transit Center,Walla Walla,WA,99362,BUS,53
-88.717972000307554,43.633334999610611,1000,WPN,"Waupun, WI",928 East Main Street,End of the Trail Candy Shop,Waupun,WI,53963,BUS,55
-89.624627999682389,44.959456000094406,1001,WSJ,"Wausau, WI",555 Jefferson Street,Transit Center,Wausau,WI,54403,BUS,55
-118.392389999598777,33.975824999923873,1002,WCH,"Westchester, CA",6860 Park Terrace Drive,Culver City Transit Northbound Route 6 Bus Stop,Westchester,CA,90045,BUS,06
-89.484089000107247,43.887790999555023,1003,WSF,"Westfield, WI",244 North Pioneer Park Road,Mobil Station,Westfield,WI,53964,BUS,55
-118.448979000280588,34.06877200002782,1004,WES,"Westwood-UCLA, CA",592 Gayley Ave.,Los Angeles MTA Westbound Route 2 Transit Bus Stop,Westwood-UCLA,CA,90024,BUS,06
-75.702012999899978,41.07137900014078,1005,WHV,"White Haven, PA","I-476, Exit 95/I-80, Exit 277, at Hwy 940",McDonald's Restaurant,White Haven,PA,18661,BUS,42
-75.883195999595671,41.245024000257445,1006,WKB,"Wilkes-Barre, PA",47 South Washington Street,Intermodal Transportation Center,Wilkes-Barre,PA,18701,BUS,42
-89.856660999805285,44.396985999904018,1007,WIR,"Wisconsin Rapids, WI",2611 West Grand Avenue,Lamers Connect Bus Station,Wisconsin Rapids,WI,54495,BUS,55
-122.87638199972946,45.151589000232207,1008,WBN,"Woodburn, OR",2900 Tom Tennant Drive,Transit Center,Woodburn,OR,97071,BUS,41
-122.145006000326646,42.910900999781347,1009,CLK,"Crater Lake, OR",Rim Drive,Community House at Rim Village,Crater Lake,OR,97604,BUS,41
-121.885156999895571,42.276879999612333,1010,RNY,"Klamath Falls, OR",5500 Running Y Road,Lodge,Klamath Falls,OR,97601,BUS,41
-73.771016999734684,43.07460700021295,1011,SRK,"Saratoga Springs, NY",267 Union Avenue,Entrance Bus Stop,Saratoga Springs,NY,12866,BUS,36
-122.349934999700451,48.242638000343504,1012,STW,"Stanwood, WA",27111 Florence Way,Station,Stanwood,WA,98292,RAIL,53
-83.191025999849955,42.542554999813433,1013,TRM,"Troy, MI",1201 Doyle Drive,Troy Transit Center,Troy,MI,48084,RAIL,26
-86.74578199983938,41.7966559997746,1014,NBU,"New Buffalo, MI",226 North Whittaker Street,Station,New Buffalo,MI,49117,RAIL,26
-72.626379000190695,42.318858000096668,1015,NHT,"Northampton, MA",170 Pleasant Street,Station,Northampton,MA,01060,RAIL,25
-97.429698000262476,35.877861000085147,1016,GUT,"Guthrie, OK",409 West Oklahoma Ave.,Santa Fe Depot,Guthrie,OK,73044,RAIL,40
